ID,Name,Age,OVA,Nationality,Club,BOV,BP,Position,POT,Team & Contract,Height,Weight,foot,Growth,Joined,Loan Date End,Value,Wage,Release Clause,Contract,Gender
1109,P. Maldini,40,77,Italy,Milan,78,CB,CB,89,Milan 2009,"6'1""",187lbs,Right,12,,,€0,€0,€0,2009,Male
1179,G. Buffon,42,82,Italy,Juventus,82,GK,GK,82,Juventus 2019 ~ 2021,"6'4""",203lbs,Right,0,"Jul 4, 2019",,€2.2M,€41K,€3.6M,2019 ~ 2021,Male
1183,F. Cannavaro,35,82,Italy,Juventus,82,CB,CB,89,Juventus 2010,"5'9""",165lbs,Right,7,,,€0,€0,€0,2010,Male
1186,Couto,37,82,Portugal,Parma,82,CB,,84,Parma 2007,"6'0""",185lbs,Right,2,,,€0,€0,€0,2007,Male
1198,F. Inzaghi,37,73,Italy,Milan,72,ST,ST,73,Milan 2001 ~ 2012,"5'11""",163lbs,Right,0,"Jan 1, 2001",,€350K,€15K,€0,2001 ~ 2012,Male
1219,C. Abbiati,37,75,Italy,Milan,75,GK,GK,75,Milan 2016 ~ 2020,"6'3""",203lbs,Right,0,"Jul 7, 2016",,€1.3M,€40K,€0,2016 ~ 2020,Male
1222,Marco Paulo,35,61,Portugal,CF Estrela da Amadora,64,CF,RM,68,CF Estrela da Amadora 2008,"5'11""",168lbs,Right,7,,,€0,€0,€0,2008,Male
1238,F. Totti,39,80,Italy,Roma,82,CAM,CF ST,80,Roma 1993 ~ 2017,"5'11""",181lbs,Right,0,"Jan 1, 1993",,€1.5M,€60K,€0,1993 ~ 2017,Male
1256,C. Seedorf,37,82,Netherlands,Botafogo,81,CAM,CAM,82,Botafogo 2012 ~ 2014,"5'10""",176lbs,Right,0,"Jul 1, 2012",,€2.2M,€60K,€0,2012 ~ 2014,Male
1419,P. Vieira,34,76,France,Manchester City,77,CDM,CDM CM,87,Manchester City 2010 ~ 2011,"6'4""",181lbs,Right,11,"Sep 2, 2010",,€0,€0,€0,2010 ~ 2011,Male
1615,L. Thuram,35,83,France,FC Barcelona,83,CB,CB,87,FC Barcelona 2008,"6'1""",174lbs,Right,4,,,€0,€0,€0,2008,Male
1625,T. Henry,36,79,France,,80,CAM,CF ST CAM LW,79,France Free,"6'2""",183lbs,Right,0,"Dec 1, 2014",,€0,€0,€0,France Free,Male
1668,C. Makélelé,37,74,France,Paris Saint-Germain,74,CDM,CDM CM,81,Paris Saint-Germain 2008 ~ 2011,"5'9""",154lbs,Right,7,"Jan 1, 2008",,€0,€0,€0,2008 ~ 2011,Male
1747,G. Coupet,37,75,France,Paris Saint-Germain,75,GK,GK,83,Paris Saint-Germain 2009 ~ 2011,"5'11""",176lbs,Right,8,"Jan 1, 2009",,€0,€0,€0,2009 ~ 2011,Male
1845,O. Solskjær,34,75,Norway,Manchester United,75,ST,ST,83,Manchester United 2008,"5'9""",163lbs,Right,8,,,€0,€0,€0,2008,Male
2062,L. Bowyer,34,69,England,Ipswich Town,69,CM,,69,Ipswich Town 2011 ~ 2012,"5'9""",152lbs,Right,0,"Jan 1, 2011",,€275K,€3K,€0,2011 ~ 2012,Male
2147,M. Stekelenburg,37,72,Netherlands,Ajax,72,GK,GK,72,Ajax 2020 ~ 2021,"6'6""",203lbs,Right,0,"Aug 5, 2020",,€325K,€5K,€455K,2020 ~ 2021,Male
2148,H. Trabelsi,29,79,Tunisia,Manchester City,84,RWB,,82,Manchester City 2009,"5'11""",163lbs,Right,3,,,€0,€0,€0,2009,Male
2196,R. Weidenfeller,36,75,Germany,Borussia Dortmund,74,GK,GK,75,Borussia Dortmund 2002 ~ 2018,"6'3""",198lbs,Left,0,"Jul 28, 2002",,€900K,€20K,€1.5M,2002 ~ 2018,Male
2231,E. Heskey,37,66,England,Bolton Wanderers,66,ST,,66,Bolton Wanderers 2014 ~ 2016,"6'1""",205lbs,Right,0,"Dec 24, 2014",,€80K,€4K,€0,2014 ~ 2016,Male
2492,Eliseu,33,76,Portugal,SL Benfica,75,LB,LB,76,SL Benfica 2014 ~ 2018,"5'9""",181lbs,Left,0,"Jul 24, 2014",,€3M,€15K,€5.9M,2014 ~ 2018,Male
2651,S. Given,40,73,Republic of Ireland,Stoke City,72,GK,GK,73,Stoke City 2015 ~ 2017,"6'1""",185lbs,Right,0,"Jul 10, 2015",,€500K,€20K,€0,2015 ~ 2017,Male
2702,K. Ellison,41,58,England,Newport County,61,ST,LM ST,58,Newport County 2020 ~ 2021,"5'11""",168lbs,Left,0,"Sep 4, 2020",,€0,€2K,€0,2020 ~ 2021,Male
2837,R. Delap,36,63,Republic of Ireland,Burton Albion,66,CB,CM RM RB,63,Burton Albion 2013 ~ 2014,"6'0""",165lbs,Right,0,"Jul 18, 2013",,€35K,€0,€0,2013 ~ 2014,Male
2956,S. Petrov,32,76,Bulgaria,Aston Villa,75,CM,,76,Aston Villa 2006 ~ 2013,"5'11""",170lbs,Right,0,"Aug 1, 2006",,€2.2M,€20K,€0,2006 ~ 2013,Male
3281,Tarantini,36,72,Portugal,Rio Ave FC,72,CM,,72,Rio Ave FC 2008 ~ 2021,"6'2""",172lbs,Right,0,"Jul 1, 2008",,€975K,€6K,€2M,2008 ~ 2021,Male
3395,S. Wright-Phillips,34,68,England,New York Red Bulls,69,CAM,,68,New York Red Bulls 2016 ~ 2023,"5'5""",141lbs,Right,0,"Jan 25, 2016",,€425K,€6K,€0,2016 ~ 2023,Male
3467,Yuri,37,71,Brazil,SD Ponferradina,71,ST,ST,71,SD Ponferradina 2017 ~ 2021,"6'1""",172lbs,Right,0,"Jan 15, 2017",,€850K,€6K,€1.3M,2017 ~ 2021,Male
3484,J. O'Shea,37,66,Republic of Ireland,Reading,65,CB,CB,66,Reading 2018 ~ 2019,"6'3""",185lbs,Right,0,"Jul 1, 2018",,€45K,€7K,€171K,2018 ~ 2019,Male
3622,Ricardo Carvalho,38,79,Portugal,Portugal,77,CB,CB,79,Portugal Free,"6'0""",174lbs,Right,0,"Jan 1, 2016",,€0,€0,€0,Free,Male
3647,M. Ballack,34,80,Germany,Bayer 04 Leverkusen,79,CM,,80,Bayer 04 Leverkusen 2010 ~ 2012,"6'2""",194lbs,Right,0,"Jan 1, 2010",,€3.2M,€30K,€0,2010 ~ 2012,Male
3712,Dida,39,75,Brazil,Internacional,75,GK,GK,75,Internacional 2013 ~ 2015,"6'5""",187lbs,Left,0,"Dec 26, 2013",,€0,€30K,€0,2013 ~ 2015,Male
3922,B. Schneider,34,80,Germany,Bayer 04 Leverkusen,83,CF,RM,88,Bayer 04 Leverkusen 2010,"5'10""",179lbs,Right,8,,,€0,€0,€0,2010,Male
4077,Simão,33,74,Portugal,RCD Espanyol,75,CAM,LM CAM,74,RCD Espanyol 2012 ~ 2014,"5'7""",141lbs,Right,0,"Aug 1, 2012",,€1.2M,€35K,€0,2012 ~ 2014,Male
4114,A. Radomski,34,63,Poland,Cracovia,63,CB,,63,Cracovia 2010 ~ 2012,"5'10""",170lbs,Right,0,"Jan 1, 2010",,€50K,€2K,€0,2010 ~ 2012,Male
4202,G. Gattuso,34,78,Italy,FC Sion,77,CDM,CDM CM RM,78,FC Sion 2012 ~ 2014,"5'10""",170lbs,Right,0,"Jul 1, 2012",,€825K,€20K,€0,2012 ~ 2014,Male
4233,C. Reyna,33,76,United States,New York Red Bulls,77,CM,CM,80,New York Red Bulls 2009,"5'10""",157lbs,Right,4,,,€0,€0,€0,2009,Male
5003,Cafu,37,83,Brazil,Milan,86,CF,RB,88,Milan 2007,"5'9""",165lbs,Right,5,,,€0,€0,€0,2007,Male
5203,M. Oddo B,35,71,Italy,Lecce,72,CM,,71,Lecce 2009 ~ 2012,"6'0""",168lbs,Right,0,"Jan 1, 2009",,€130K,€6K,€0,2009 ~ 2012,Male
5231,B. Mendy,31,63,France,Stade Brestois 29,64,CB,RB,63,Stade Brestois 29 2012 ~ 2014,"5'11""",170lbs,Right,0,"Jun 25, 2012",,€120K,€4K,€0,2012 ~ 2014,Male
5419,M. Owen,32,74,England,Stoke City,74,ST,ST CF,74,Stoke City 2012 ~ 2013,"5'8""",154lbs,Right,0,"Sep 1, 2012",,€1.8M,€10K,€0,2012 ~ 2013,Male
5459,M. Bagayoko,32,71,Mali,Doncaster Rovers,71,ST,,71,Doncaster Rovers 2006 ~ 2017,"6'3""",176lbs,Right,0,"Jan 1, 2006",,€850K,€6K,€0,2006 ~ 2017,Male
5467,J. Carragher,34,77,England,Liverpool,77,CB,,77,Liverpool 1996 ~ 2013,"6'1""",183lbs,Right,0,"Oct 1, 1996",,€825K,€20K,€0,1996 ~ 2013,Male
5471,F. Lampard,38,78,England,New York City FC,76,CM,CM CDM CAM,78,New York City FC 2015 ~ 2023,"6'0""",196lbs,Right,0,"Jul 1, 2015",,€575K,€8K,€0,2015 ~ 2023,Male
5479,Casillas,38,79,Spain,FC Porto,79,GK,GK,79,FC Porto 2015 ~ 2020,"6'1""",185lbs,Left,0,"Jul 12, 2015",,€1.3M,€8K,€2.6M,2015 ~ 2020,Male
5589,Figo,35,78,Portugal,Inter,81,CF,RW,86,Inter 2009,"5'11""",165lbs,Right,8,,,€0,€0,€0,2009,Male
5672,E. Davids,39,64,Netherlands,Barnet,69,CDM,CM CDM LM CAM,64,Barnet 2012 ~ 2014,"5'7""",150lbs,Left,0,"Oct 1, 2012",,€1K,€0,€0,2012 ~ 2014,Male
5673,J. Litmanen,39,75,Finland,Finland,75,CAM,,86,Finland Free,"5'11""",176lbs,Right,11,"Jan 1, 2008",,€0,€0,€0,Free,Male
5680,P. Kluivert,30,81,Netherlands,LOSC Lille,81,ST,,81,LOSC Lille 2007,"6'2""",176lbs,Right,0,,,€0,€0,€0,2007,Male
5740,J. Stam,34,82,Netherlands,Ajax,82,CB,,90,Ajax 2008,"6'2""",190lbs,Right,8,,,€0,€0,€0,2008,Male
5744,E. Gudjohnsen,36,71,Iceland,Molde FK,71,CF,,71,Molde FK 2016 ~ 2018,"6'1""",196lbs,Right,0,"Feb 13, 2016",,€190K,€25K,€0,2016 ~ 2018,Male
5809,N. Anelka,34,77,France,West Bromwich Albion,76,ST,ST,77,West Bromwich Albion 2013 ~ 2014,"6'1""",176lbs,Right,0,"Jul 4, 2013",,€2.1M,€45K,€0,2013 ~ 2014,Male
5879,A. Gilardino,34,72,Italy,Spezia,71,ST,ST,72,Spezia 2017 ~ 2019,"6'0""",174lbs,Right,0,"Oct 3, 2017",,€1.6M,€5K,€2.6M,2017 ~ 2019,Male
5984,D. Trezeguet,35,74,France,Newell's Old Boys,74,ST,ST,74,Newell's Old Boys 2013 ~ 2014,"6'3""",176lbs,Right,0,"Jul 22, 2013",,€1.1M,€45K,€0,2013 ~ 2014,Male
6083,M. Jankulovski,33,72,Czech Republic,Milan,75,LM,LWB LM LB LW,85,Milan 2005 ~ 2011,"6'0""",181lbs,Left,13,"Jan 1, 2005",,€0,€0,€0,2005 ~ 2011,Male
6235,P. Nedved,35,80,Czech Republic,Juventus,81,CF,LM,88,Juventus 2009,"5'10""",154lbs,Right,8,,,€0,€0,€0,2009,Male
6826,G. Barry,38,70,England,West Bromwich Albion,70,CDM,CDM CM,70,West Bromwich Albion 2017 ~ 2020,"6'0""",172lbs,Left,0,"Aug 15, 2017",,€375K,€15K,€713K,2017 ~ 2020,Male
6908,D. Stanković,33,78,Serbia,Inter,78,CAM,,78,Inter 2004 ~ 2013,"5'11""",165lbs,Right,0,"Jul 1, 2004",,€2.7M,€30K,€0,2004 ~ 2013,Male
6975,F. Ljungberg,33,74,Sweden,Celtic,75,RM,,83,Celtic 2005 ~ 2013,"5'9""",161lbs,Right,9,"Jan 1, 2005",,€0,€0,€0,2005 ~ 2013,Male
7142,K. Kaladze,33,76,Georgia,Genoa,75,CB,,76,Genoa 2010 ~ 2013,"6'1""",168lbs,Left,0,"Jan 1, 2010",,€1.2M,€20K,€0,2010 ~ 2013,Male
7289,R. Ferdinand,35,75,England,Queens Park Rangers,74,CB,CB,75,Queens Park Rangers 2014 ~ 2015,"6'4""",190lbs,Right,0,"Jul 17, 2014",,€550K,€25K,€0,2014 ~ 2015,Male
7512,H. Crespo,35,76,Argentina,Parma,75,ST,,76,Parma 2010 ~ 2012,"6'0""",179lbs,Right,0,"Jan 1, 2010",,€1.7M,€20K,€0,2010 ~ 2012,Male
7631,A. Cassano,33,76,Italy,Sampdoria,78,CAM,CF,76,Sampdoria 2015 ~ 2017,"5'9""",176lbs,Right,0,"Aug 11, 2015",,€3.4M,€40K,€0,2015 ~ 2017,Male
7743,L. Donovan,35,73,United States,Club León,74,CAM,LM ST,73,Club León 2018 ~ 2020,"5'8""",154lbs,Right,0,"Jan 15, 2018",,€1.8M,€20K,€3M,2018 ~ 2020,Male
7763,A. Pirlo,38,77,Italy,New York City FC,74,CM,CM CDM,77,New York City FC 2015 ~ 2017,"5'10""",150lbs,Right,0,"Jul 6, 2015",,€2.2M,€8K,€4.2M,2015 ~ 2017,Male
7826,R. van Persie,34,78,Netherlands,Feyenoord,78,CAM,ST CAM,78,Feyenoord 2018 ~ 2019,"6'2""",157lbs,Left,0,"Jan 22, 2018",,€5.5M,€20K,€7.7M,2018 ~ 2019,Male
8040,D. Rommedahl,34,65,Denmark,RKC Waalwijk,67,CAM,RM,65,RKC Waalwijk 2013 ~ 2015,"5'10""",165lbs,Right,0,"Jul 1, 2013",,€150K,€3K,€0,2013 ~ 2015,Male
8222,G. Heinze,35,74,Argentina,Newell's Old Boys,73,CB,,74,Newell's Old Boys 2012 ~ 2014,"5'10""",159lbs,Left,0,"Jul 1, 2012",,€300K,€45K,€0,2012 ~ 2014,Male
8473,T. Rosický,36,79,Czech Republic,Sparta Praha,78,CAM,CAM CM RM,79,Sparta Praha 2016 ~ 2018,"5'10""",159lbs,Right,0,"Aug 30, 2016",,€4.2M,€2K,€9.3M,2016 ~ 2018,Male
8517,S. Parker,35,72,England,Fulham,72,CDM,CDM CM,72,Fulham 2013 ~ 2017,"5'9""",152lbs,Right,0,"Aug 13, 2013",,€350K,€15K,€0,2013 ~ 2017,Male
8753,O. Daf,35,64,Senegal,FC Sochaux-Montbéliard,69,CB,,64,FC Sochaux-Montbéliard 2012 ~ 2013,"5'10""",157lbs,Right,0,"Jul 1, 2012",,€45K,€2K,€0,2012 ~ 2013,Male
8772,M. Viduka,33,74,Australia,,72,ST,,81,Australia Free,"6'2""",198lbs,Right,7,,,€0,€0,€0,Australia Free,Male
8842,L. Scaloni,36,65,Argentina,Atalanta,66,CB,,65,Atalanta 2013 ~ 2015,"6'0""",176lbs,Right,0,"Jan 29, 2013",,€0,€3K,€0,2013 ~ 2015,Male
8963,Manuel Pablo,39,67,Spain,Deportivo de La Coruña,71,CDM,,67,Deportivo de La Coruña 1998 ~ 2016,"5'9""",176lbs,Right,0,"Jul 1, 1998",,€0,€6K,€0,1998 ~ 2016,Male
9014,A. Robben,36,80,Netherlands,FC Groningen,81,CAM,RM CAM,80,FC Groningen 2020 ~ 2021,"5'11""",176lbs,Left,0,"Jul 1, 2020",,€5M,€12K,€7.3M,2020 ~ 2021,Male
9432,Y. Benayoun,33,76,Israel,Queens Park Rangers,78,CAM,LM CAM RM,76,Queens Park Rangers 2013 ~ 2014,"5'10""",154lbs,Right,0,"Dec 10, 2013",,€1.9M,€35K,€0,2013 ~ 2014,Male
9676,S. Eto'o,36,81,Cameroon,Atiker Konyaspor,79,ST,ST,81,Atiker Konyaspor 2018 ~ 2020,"5'10""",165lbs,Right,0,"Jan 31, 2018",,€6.5M,€20K,€13M,2018 ~ 2020,Male
9805,C. Bellamy,33,73,Wales,Cardiff City,75,CAM,,73,Cardiff City 2012 ~ 2014,"5'9""",152lbs,Right,0,"Aug 10, 2012",,€875K,€25K,€0,2012 ~ 2014,Male
10264,R. van Nistelrooy,34,77,Netherlands,Málaga CF,76,ST,,77,Málaga CF 2011 ~ 2012,"6'2""",176lbs,Right,0,"Jan 1, 2011",,€2.1M,€20K,€0,2011 ~ 2012,Male
10535,Xavi,34,86,Spain,FC Barcelona,85,CAM,CM,86,FC Barcelona 1998 ~ 2020,"5'7""",148lbs,Right,0,"Jul 1, 1998",,€15.5M,€160K,€0,1998 ~ 2020,Male
10651,M. Heinz,31,64,Czech Republic,KSV 1919,64,CF,CAM,82,KSV 1919 2010,"6'2""",181lbs,Left,18,,,€0,€0,€0,2010,Male
10899,C. Porter,36,63,England,Crewe Alexandra,63,ST,,63,Crewe Alexandra 2017 ~ 2021,"6'1""",183lbs,Right,0,"Jul 1, 2017",,€130K,€2K,€228K,2017 ~ 2021,Male
11044,T. Dellas,35,72,Greece,AEK Athens,72,CB,,72,AEK Athens 2010 ~ 2012,"6'6""",205lbs,Right,0,"Jan 1, 2010",,€210K,€7K,€0,2010 ~ 2012,Male
11125,G. Asamoah,33,66,Germany,SpVgg Greuther Fürth,66,ST,ST CF RW,66,SpVgg Greuther Fürth 2012 ~ 2013,"5'11""",187lbs,Right,0,"Jan 1, 2012",,€325K,€3K,€0,2012 ~ 2013,Male
11141,M. Klose,37,79,Germany,Lazio,77,ST,ST,79,Lazio 2011 ~ 2016,"6'0""",185lbs,Right,0,"Jul 1, 2011",,€1.3M,€80K,€0,2011 ~ 2016,Male
11381,M. Gilks,38,64,Scotland,Bolton Wanderers,64,GK,GK,64,Bolton Wanderers 2020 ~ 2021,"6'1""",179lbs,Right,0,"Aug 6, 2020",,€45K,€2K,€79K,2020 ~ 2021,Male
11795,A. Stansfield,30,57,England,Exeter City,58,ST,ST,63,Exeter City 2010,"5'11""",170lbs,Right,6,,,€0,€0,€0,2010,Male
12011,C. Lupatelli,36,68,Italy,Fiorentina,68,GK,,68,Fiorentina 2012 ~ 2015,"6'2""",185lbs,Left,0,"Jul 14, 2012",,€450K,€9K,€0,2012 ~ 2015,Male
12259,S. Keita,35,76,Mali,Roma,76,CB,CDM CM,76,Roma 2014 ~ 2016,"6'0""",165lbs,Left,0,"Jul 1, 2014",,€900K,€70K,€0,2014 ~ 2016,Male
12265,O. Hargreaves   B,30,78,England,Manchester City,77,CDM,CDM CM RM RWB,78,Manchester City 2011 ~ 2012,"5'11""",161lbs,Right,0,"Jan 1, 2011",,€3M,€30K,€0,2011 ~ 2012,Male
12445,J. Riise,34,72,Norway,Aalesunds FK,76,CDM,,72,Aalesunds FK 2016 ~ 2016,"6'2""",181lbs,Left,0,"Mar 11, 2016",,€1M,€15K,€0,2016 ~ 2016,Male
12695,A. Friedrich,33,74,Germany,Chicago Fire,73,CB,,74,Chicago Fire 2012 ~ 2013,"6'1""",181lbs,Right,0,"Mar 1, 2012",,€775K,€8K,€0,2012 ~ 2013,Male
13038,Puyol,35,83,Spain,FC Barcelona,82,CB,CB,83,FC Barcelona 1999 ~ 2014,"5'10""",176lbs,Right,0,"Jul 1, 1999",,€1.3M,€100K,€0,1999 ~ 2014,Male
13128,A. Shevchenko,32,77,Ukraine,Ukraine,77,ST,ST,85,Ukraine Free,"6'0""",159lbs,Right,8,,,€0,€0,€0,Free,Male
13130,W. Brown,36,66,England,Blackburn Rovers,65,CB,CB,66,Blackburn Rovers 2016 ~ 2017,"6'1""",170lbs,Right,0,"Sep 21, 2016",,€0,€6K,€0,2016 ~ 2017,Male
13732,J. Terry,36,76,England,Aston Villa,75,CB,CB,76,Aston Villa 2017 ~ 2018,"6'2""",198lbs,Right,0,"Jul 3, 2017",,€1M,€30K,€2M,2017 ~ 2018,Male
13739,A. Smith,36,61,England,Notts County,61,CB,CM CDM ST,61,Notts County 2014 ~ 2018,"5'11""",179lbs,Right,0,"May 20, 2014",,€80K,€3K,€140K,2014 ~ 2018,Male
13743,S. Gerrard,36,81,England,LA Galaxy,79,CM,CM CDM,81,LA Galaxy 2015 ~ 2023,"6'0""",183lbs,Right,0,"Jul 8, 2015",,€1.4M,€10K,€0,2015 ~ 2023,Male
13850,Sun Jihai,31,64,China PR,China PR,66,CF,RB,75,China PR Free,"5'11""",148lbs,Right,11,,,€0,€0,€0,Free,Male
13914,P. Robinson,36,69,England,Burnley,68,GK,GK,69,Burnley 2016 ~ 2023,"6'4""",198lbs,Right,0,"Jan 26, 2016",,€450K,€10K,€0,2016 ~ 2023,Male
13940,J. Koller,36,78,Czech Republic,,78,ST,,80,Czech Republic Free,"6'8""",234lbs,Right,2,,,€0,€0,€0,Czech Republic Free,Male
14916,J. Ángel,38,68,Colombia,Atlético Nacional,68,ST,,68,Atlético Nacional 2013 ~ 2014,"6'1""",181lbs,Right,0,"Jan 1, 2013",,€100K,€10K,€0,2013 ~ 2014,Male
15723,D. Kuyt,35,75,Netherlands,Feyenoord,75,ST,CAM,75,Feyenoord 2015 ~ 2017,"6'0""",185lbs,Right,0,"Jul 1, 2015",,€1.5M,€15K,€0,2015 ~ 2017,Male
16254,T. Howard,40,71,United States,Colorado Rapids,70,GK,GK,71,Colorado Rapids 2016 ~ 2019,"6'3""",194lbs,Right,0,"Jul 4, 2016",,€240K,€3K,€348K,2016 ~ 2019,Male
16897,D. Van Buyten,35,78,Belgium,FC Bayern München,77,CB,CB,78,FC Bayern München 2006 ~ 2014,"6'6""",209lbs,Right,0,"Jul 1, 2006",,€650K,€70K,€0,2006 ~ 2014,Male
17209,T. Sanneh,38,62,United States,,63,CB,,72,United States Free,"6'2""",190lbs,Right,10,,,€0,€0,€0,United States Free,Male
18122,N. Penneteau,39,73,France,Sporting de Charleroi,73,GK,GK,73,Sporting de Charleroi 2014 ~ 2021,"6'1""",172lbs,Left,0,"Aug 7, 2014",,€400K,€6K,€600K,2014 ~ 2021,Male
19292,J. Collins,34,72,Wales,Ipswich Town,71,CB,,72,Ipswich Town 2019 ~ 2019,"6'2""",183lbs,Right,0,"Jan 11, 2019",,€950K,€8K,€1.8M,2019 ~ 2019,Male
19521,J. Ibehre,36,58,England,Cambridge United,58,ST,ST,58,Cambridge United 2017 ~ 2020,"6'4""",203lbs,Right,0,"Jul 1, 2017",,€45K,€2K,€79K,2017 ~ 2020,Male
19896,Valerón,40,74,Spain,UD Las Palmas,74,CAM,CAM CM,74,UD Las Palmas 2013 ~ 2016,"6'1""",168lbs,Right,0,"Jul 15, 2013",,€0,€15K,€0,2013 ~ 2016,Male
20172,G. Holt,34,67,England,Rochdale,67,ST,,67,Rochdale 2016 ~ 2016,"6'0""",174lbs,Right,0,"Feb 22, 2016",,€375K,€2K,€0,2016 ~ 2016,Male
20176,Hélder Postiga,32,74,Portugal,Rio Ave FC,74,ST,ST,74,Rio Ave FC 2016 ~ 2016,"5'11""",168lbs,Right,0,"Feb 1, 2016",,€2.7M,€40K,€0,2016 ~ 2016,Male
